団体コード,都道府県名,市区町村名,0～4歳,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85～89,90～94,95～99,100歳以上
011002,北海道,札幌市,68040,74609,76537,81475,96933,102491,112460,125195,142793,157881,137657,127978,122407,140933,133959,100296,73164,51679,24912,6899,1015
011011,北海道,札幌市中央区,7918,8182,8081,8687,13009,15607,15904,16912,18447,20721,18518,16372,14068,14592,13664,9967,7756,5939,2934,804,116
011029,北海道,札幌市北区,10249,11656,12150,12974,16312,14378,15780,17806,20785,22893,19386,17908,17171,20593,19325,14507,10525,7192,3502,934,160
011037,北海道,札幌市東区,9964,10269,10362,10993,13200,14583,16061,17556,19699,21942,18040,16065,15421,18031,17229,13010,9209,6298,3030,827,133
011045,北海道,札幌市白石区,7768,7648,7488,8038,10684,13476,14084,14650,16521,18071,15758,13881,12486,13791,12976,10080,7366,5280,2419,655,91
011053,北海道,札幌市豊平区,7884,7989,7870,8446,12031,14420,15069,15433,16817,18244,15961,14362,12830,14331,13725,10632,8081,5881,2723,733,100
011061,北海道,札幌市南区,3878,4724,5043,5763,6000,5147,5811,7000,8272,9198,8968,9461,9794,11858,11833,9005,6882,4835,2311,662,113
011070,北海道,札幌市西区,8060,8479,8469,8759,9203,10822,12529,14213,16094,17553,15342,13957,13487,15570,14924,11382,8400,5979,2824,822,125
011088,北海道,札幌市厚別区,3638,4441,4973,5645,5757,5059,5870,6733,8197,9739,9186,8928,9162,10587,10287,7772,5510,3551,1681,476,50
011096,北海道,札幌市手稲区,4942,6116,6394,6397,6017,5308,6693,8552,10059,10603,8690,9053,9777,12092,11412,7991,5383,3820,2012,579,76
011100,北海道,札幌市清田区,3739,5105,5707,5773,4720,3691,4659,6340,7902,8917,7808,7991,8211,9488,8584,5950,4052,2904,1476,407,51
012025,北海道,函館市,7161,8335,9126,10362,9945,9825,11060,13352,16208,18946,16977,16526,17662,21991,21810,17347,13585,9303,4450,1180,157
012033,北海道,小樽市,2563,3307,3778,4566,4342,3661,4013,4838,6608,7995,7436,7302,7731,10503,11326,9138,6995,5023,2488,728,84
012041,北海道,旭川市,10737,12184,13114,14078,13094,13658,15487,18347,22315,24254,21605,21021,22159,27324,27608,21854,16619,11489,5292,1609,221
012050,北海道,室蘭市,2440,2702,2922,3603,3947,3449,3518,4081,4783,5892,5085,4669,4870,6968,7388,6646,4956,3175,1419,408,56
012068,北海道,釧路市,4911,5838,6565,7402,7306,6800,7514,8901,11039,12145,10897,11015,11468,14672,13610,10853,8505,5432,2471,649,93
012076,北海道,帯広市,6044,6658,6671,7075,7955,8524,8785,9849,11185,12383,10991,10982,10736,12391,11550,9204,7191,4942,2210,634,83
012084,北海道,北見市,3730,4282,4531,5006,4701,4634,5217,6383,7921,8546,7502,7818,7756,9620,9277,7261,5783,4127,1908,539,88
012092,北海道,夕張市,118,143,173,180,188,196,218,269,343,439,427,507,572,807,807,763,783,504,250,69,13
012106,北海道,岩見沢市,2215,2858,3086,3445,3223,2980,3315,3813,4848,5661,4982,5499,5862,6917,6813,5387,4393,3170,1455,425,63
012114,北海道,網走市,1122,1334,1398,1553,1799,1527,1553,1947,2300,2513,2158,2310,2387,2823,2761,2074,1631,1084,577,166,22
012122,北海道,留萌市,611,660,733,742,798,768,868,1082,1247,1438,1352,1377,1371,1817,1834,1567,1205,763,335,131,16
012131,北海道,苫小牧市,6344,7308,7597,7804,7115,8044,9136,10526,12415,13308,10977,10355,10948,13825,12460,9228,6737,4342,2129,566,78
012149,北海道,稚内市,1064,1235,1308,1363,1207,1419,1481,1900,2176,2519,2332,2350,2268,2911,2654,2134,1705,1038,422,105,14
012157,北海道,美唄市,414,541,654,814,695,640,699,837,1152,1391,1387,1441,1533,2035,1989,1688,1432,1064,487,141,24
012165,北海道,芦別市*,247,303,347,445,392,393,366,459,652,776,800,891,955,1275,1399,1244,1064,709,330,106,15
012173,北海道,江別市,3874,4689,4900,5932,6260,4710,5441,6264,7387,8618,8162,8376,8674,9593,8916,6830,5098,3624,1703,455,74
012181,北海道,赤平市,177,222,280,332,300,272,307,395,462,570,550,694,693,996,1059,910,819,545,232,69,22
012190,北海道,紋別市,595,732,713,785,781,906,996,1105,1301,1434,1388,1552,1526,1823,1858,1525,1239,832,372,104,15
012203,北海道,士別市,464,553,695,770,611,544,648,867,1036,1230,1181,1216,1296,1657,1643,1426,1275,860,424,140,26
012211,北海道,名寄市,1009,1062,1040,1226,1445,1209,1455,1586,1716,1794,1645,1650,1633,2003,2070,1676,1434,996,458,151,19
012220,北海道,三笠市*,207,209,250,341,196,251,328,316,408,469,423,494,520,791,798,772,678,512,243,73,7
012238,北海道,根室市,755,848,989,1044,1064,1161,1129,1284,1488,1706,1753,1835,1711,2188,1964,1792,1396,839,395,102,14
012246,北海道,千歳市,4125,4485,4569,5079,6281,5618,6016,6690,7271,7790,6463,5652,5142,6019,5656,4284,3219,2022,867,270,34
012254,北海道,滝川市,1187,1403,1478,1747,1753,1573,1825,2039,2529,2785,2640,2620,2513,3335,3252,2736,2174,1406,637,209,20
012262,北海道,砂川市*,448,486,613,739,653,623,687,795,949,1072,991,1096,1159,1410,1493,1250,1101,738,370,121,21
012271,北海道,歌志内市*,46,37,71,106,62,72,70,123,156,162,159,205,244,364,339,339,240,199,94,28,8
012289,北海道,深川市,482,592,618,910,802,633,625,909,1103,1236,1332,1319,1423,1798,1880,1719,1395,1021,460,140,25
012297,北海道,富良野市,662,812,829,956,980,812,971,1125,1399,1519,1474,1510,1456,1674,1610,1325,1180,804,365,114,16
012301,北海道,登別市,1463,1632,1879,2110,1949,1791,1951,2425,2986,3498,2930,2856,2937,4126,4269,3590,2594,1629,737,222,34
012319,北海道,恵庭市,2527,3058,3310,3556,3610,3208,3679,4159,5003,5367,4700,4363,4307,5086,4671,3559,2906,1853,865,226,36
012335,北海道,伊達市,936,1142,1411,1435,1242,1222,1294,1635,2141,2464,2128,2079,2194,2978,2920,2437,1982,1355,671,207,23
012343,北海道,北広島市,1683,2227,2618,3061,2467,1923,2287,2971,3851,4620,3954,3812,4053,4971,4970,3638,2528,1560,783,247,41
012351,北海道,石狩市,1893,2357,2773,2895,2260,1854,2484,3177,4199,4410,3650,3313,3629,5258,5282,3592,2403,1667,889,260,43
012360,北海道,北斗市,1511,1850,2298,2331,1828,1815,2007,2461,3237,3760,3339,3052,3070,3581,3223,2494,1941,1388,637,182,26
013030,北海道,石狩郡当別町,316,383,551,744,849,579,622,593,781,1045,1176,1384,1301,1410,1318,1073,807,529,272,103,4
013048,北海道,石狩郡新篠津村*,94,102,114,125,110,117,117,133,187,200,182,196,196,236,251,206,194,149,84,30,3
013315,北海道,松前郡松前町*,120,132,161,191,133,158,190,213,322,464,450,424,534,764,801,680,592,376,191,47,8
013323,北海道,松前郡福島町*,80,79,89,130,78,90,106,150,166,225,234,247,360,479,405,359,315,209,104,25,1
013331,北海道,上磯郡知内町*,85,136,149,160,128,165,171,197,226,256,250,283,349,428,378,315,246,195,80,34,1
013340,北海道,上磯郡木古内町*,64,91,99,118,101,126,113,131,172,227,239,273,317,449,394,407,322,236,115,44,5
013374,北海道,亀田郡七飯町,949,1123,1210,1209,956,961,1216,1463,1830,2156,1785,1788,1975,2441,2299,1746,1368,1035,471,147,20
013439,北海道,茅部郡鹿部町,89,128,141,139,151,170,182,173,183,249,265,242,296,359,404,352,198,103,58,14,3
013455,北海道,茅部郡森町,373,494,593,687,613,481,587,743,894,1047,989,956,1063,1491,1382,1074,797,551,314,89,12
013463,北海道,二海郡八雲町,518,570,599,618,644,754,762,896,1050,1096,1026,1092,1130,1456,1274,979,762,587,332,131,17
013471,北海道,山越郡長万部町,123,167,159,207,177,191,226,239,258,283,266,375,389,481,421,373,391,331,162,48,4
013617,北海道,檜山郡江差町*,169,200,255,298,301,267,294,341,470,554,499,487,524,646,593,538,467,344,158,53,6
013625,北海道,檜山郡上ノ国町*,95,155,157,199,101,100,171,179,256,298,268,339,357,465,465,384,333,241,89,24,5
013633,北海道,檜山郡厚沢部町*,91,143,125,140,83,93,129,182,191,235,211,263,299,361,322,290,274,207,90,26,8
013641,北海道,爾志郡乙部町*,76,102,134,139,88,94,113,136,181,218,208,221,277,360,335,329,277,185,100,31,3
013676,北海道,奥尻郡奥尻町*,64,63,55,111,110,121,128,114,136,128,148,160,200,251,222,188,180,116,65,18,2
013706,北海道,瀬棚郡今金町*,136,180,171,239,115,151,195,249,299,337,285,364,353,462,436,379,330,263,159,61,11
013714,北海道,久遠郡せたな町*,146,199,253,262,194,184,224,335,390,483,424,484,593,769,746,683,570,431,254,72,16
013919,北海道,島牧郡島牧村*,37,39,29,49,33,60,56,59,83,94,94,91,103,118,126,123,120,71,38,9,0
013927,北海道,寿都郡寿都町*,67,99,90,128,85,107,116,155,161,179,148,171,215,276,256,230,165,136,78,26,3
013935,北海道,寿都郡黒松内町*,77,101,133,119,91,119,111,130,144,165,155,191,195,215,184,183,167,164,93,26,6
013943,北海道,磯谷郡蘭越町,134,157,165,201,146,131,191,233,241,285,294,324,378,419,390,319,297,208,119,31,6
013951,北海道,虻田郡ニセコ町,203,270,199,229,343,311,322,376,438,424,337,333,273,350,314,219,200,159,79,20,4
013960,北海道,虻田郡真狩村*,81,82,85,87,50,56,92,120,160,119,104,152,134,169,164,123,107,88,51,15,5
013978,北海道,虻田郡留寿都村,72,70,82,103,213,165,138,107,123,118,121,130,135,136,81,93,72,67,36,6,2
013986,北海道,虻田郡喜茂別町,57,59,73,71,90,109,87,128,142,140,141,139,140,156,188,182,137,89,55,16,2
013994,北海道,虻田郡京極町,73,112,129,147,101,106,127,145,224,217,190,175,185,251,223,179,162,146,68,16,3
014001,北海道,虻田郡倶知安町,657,684,624,720,1278,1557,1224,1168,1225,1226,1008,890,869,953,958,714,547,357,178,51,4
014010,北海道,岩内郡共和町*,201,237,206,242,250,269,325,289,346,393,382,376,388,453,405,390,340,213,89,37,8
014028,北海道,岩内郡岩内町,330,409,409,494,438,488,514,576,693,899,840,882,802,1090,1045,891,799,435,214,57,9
014036,北海道,古宇郡泊村*,34,43,66,75,51,65,61,63,99,108,84,108,104,128,122,119,109,91,58,18,1
014044,北海道,古宇郡神恵内村*,15,25,32,26,9,22,27,39,41,51,60,54,65,91,73,55,52,56,38,6,1
014052,北海道,積丹郡積丹町*,46,48,53,68,41,54,48,54,89,119,135,150,126,197,198,170,171,128,59,24,0
014061,北海道,古平郡古平町*,65,81,92,76,65,78,77,132,156,201,206,199,221,274,260,268,226,174,81,27,2
014079,北海道,余市郡仁木町*,88,129,134,128,82,82,121,140,190,188,192,216,225,318,310,252,199,137,74,24,4
014087,北海道,余市郡余市町,496,603,670,747,668,642,709,850,1055,1225,1132,1148,1296,1748,1721,1351,1211,793,357,127,15
014095,北海道,余市郡赤井川村,39,32,64,53,90,97,86,72,77,92,77,65,55,91,87,65,63,37,28,1,2
014231,北海道,空知郡南幌町,187,219,261,288,285,238,324,327,355,464,566,749,676,655,586,440,399,285,121,30,6
014249,北海道,空知郡奈井江町*,128,160,169,221,205,145,177,194,297,353,319,381,379,474,461,462,350,256,129,34,11
014257,北海道,空知郡上砂川町*,45,69,66,99,70,77,74,93,143,169,147,160,187,302,312,314,263,163,85,19,5
014273,北海道,夕張郡由仁町*,108,167,161,205,150,136,191,200,300,306,294,374,366,481,431,402,365,240,122,39,4
014281,北海道,夕張郡長沼町*,261,361,416,396,399,381,448,515,569,708,681,755,791,886,874,715,657,482,248,69,7
014290,北海道,夕張郡栗山町,300,427,391,487,377,362,477,534,682,803,697,732,739,1039,1019,924,762,532,261,77,15
014303,北海道,樺戸郡月形町*,63,80,74,92,129,114,149,135,174,189,186,198,230,278,258,222,225,179,96,37,6
014311,北海道,樺戸郡浦臼町*,40,67,64,66,47,39,56,78,106,98,102,107,125,197,145,134,136,102,50,21,3
014320,北海道,樺戸郡新十津川町*,217,234,268,285,186,154,268,294,352,429,417,424,453,547,584,461,467,293,125,47,7
014338,北海道,雨竜郡妹背牛町*,53,81,94,99,87,52,80,99,163,149,167,179,203,288,298,254,219,178,85,28,3
014346,北海道,雨竜郡秩父別町*,72,86,60,81,88,61,120,95,124,128,141,161,178,200,211,189,169,148,68,17,1
014362,北海道,雨竜郡雨竜町*,49,87,69,99,76,66,71,114,130,152,139,152,147,225,201,176,172,107,59,20,6
014371,北海道,雨竜郡北竜町*,54,48,56,67,57,57,67,74,90,93,110,93,147,140,151,178,123,106,57,21,4
014389,北海道,雨竜郡沼田町*,85,71,97,112,89,100,120,102,157,170,169,234,209,250,284,235,216,180,99,25,5
014524,北海道,上川郡鷹栖町*,199,257,377,387,219,141,235,314,489,518,462,436,471,561,525,456,328,271,125,42,5
014532,北海道,上川郡東神楽町*,433,558,561,563,350,319,462,612,714,820,705,685,673,693,650,503,409,307,139,36,5
014541,北海道,上川郡当麻町*,167,223,236,289,206,163,224,277,328,393,379,432,444,541,585,472,461,332,179,55,3
014559,北海道,上川郡比布町*,110,126,131,130,102,102,144,172,187,233,216,222,276,304,330,276,299,184,98,26,4
014567,北海道,上川郡愛別町*,60,81,97,98,80,66,86,76,135,167,146,147,199,258,266,243,208,164,82,21,4
014575,北海道,上川郡上川町,74,82,111,136,143,132,140,151,173,182,193,203,233,316,331,290,321,196,76,24,3
014583,北海道,上川郡東川町,310,377,384,414,426,328,356,441,603,638,511,439,456,632,647,503,399,296,165,46,9
014591,北海道,上川郡美瑛町,232,362,369,428,343,352,365,473,577,681,657,660,653,809,800,729,637,479,235,59,12
014605,北海道,空知郡上富良野町,364,448,453,535,545,475,574,609,706,662,664,592,631,780,798,648,574,398,157,42,6
014613,北海道,空知郡中富良野町*,171,207,240,220,150,145,160,248,327,281,316,340,340,388,371,313,329,221,98,34,2
014621,北海道,空知郡南富良野町*,97,89,79,107,89,111,135,143,142,155,179,148,160,173,152,142,128,111,63,13,4
014630,北海道,勇払郡占冠村,38,25,35,48,243,264,116,92,95,106,80,81,72,77,80,46,57,37,17,3,1
014648,北海道,上川郡和寒町*,74,108,127,122,96,72,101,129,180,186,191,184,243,257,300,293,255,186,109,39,8
014656,北海道,上川郡剣淵町*,86,81,118,148,102,85,107,157,166,185,152,209,235,305,254,201,184,164,93,24,6
014681,北海道,上川郡下川町*,98,108,132,134,92,73,124,138,227,224,181,200,206,279,269,250,215,162,91,26,2
014699,北海道,中川郡美深町*,109,131,155,159,132,133,171,173,277,264,228,275,282,378,350,313,316,225,127,27,7
014702,北海道,中川郡音威子府村*,18,13,13,125,35,37,31,32,36,30,23,47,68,55,40,35,41,36,9,4,0
014711,北海道,中川郡中川町*,49,57,40,53,40,49,51,64,96,81,86,119,101,126,118,124,105,76,31,16,1
014729,北海道,雨竜郡幌加内町*,31,41,55,108,43,33,57,64,84,92,84,79,95,106,115,111,115,86,36,10,0
014818,北海道,増毛郡増毛町,78,140,121,166,136,128,154,182,203,260,225,296,269,420,379,361,265,248,135,48,8
014826,北海道,留萌郡小平町,87,99,93,92,114,116,120,153,163,199,204,199,221,271,232,257,222,159,65,17,4
014834,北海道,苫前郡苫前町*,91,100,102,133,97,91,107,119,144,177,214,189,201,257,232,234,244,173,78,25,4
014842,北海道,苫前郡羽幌町*,175,241,243,256,164,208,248,303,366,429,388,415,458,625,612,566,496,348,164,59,8
014851,北海道,苫前郡初山別村*,33,33,31,39,48,39,52,29,53,69,87,97,89,87,83,90,88,58,30,8,0
014869,北海道,天塩郡遠別町,75,94,86,99,85,88,117,98,136,160,148,177,199,238,211,192,183,152,71,14,3
014877,北海道,天塩郡天塩町*,84,111,117,112,97,106,128,155,187,170,173,226,214,299,252,180,143,127,63,17,9
015113,北海道,宗谷郡猿払村,126,121,140,148,166,168,177,177,158,176,172,191,201,173,146,109,97,72,40,8,0
015121,北海道,枝幸郡浜頓別町*,93,106,124,135,119,147,149,171,240,228,200,209,277,313,312,219,189,120,81,16,3
015130,北海道,枝幸郡中頓別町*,51,55,48,56,34,67,62,85,120,120,98,95,121,148,134,137,93,81,48,20,2
015148,北海道,枝幸郡枝幸町*,225,246,353,367,271,291,325,400,482,573,476,541,585,693,633,516,430,292,156,32,6
015164,北海道,天塩郡豊富町*,109,163,139,155,110,159,191,241,234,227,210,265,313,406,267,216,187,154,79,26,2
015172,北海道,礼文郡礼文町*,93,82,93,76,49,102,111,142,143,144,155,167,198,254,173,157,159,102,44,8,1
015181,北海道,利尻郡利尻町*,66,49,75,69,57,78,77,87,134,108,115,131,134,185,169,156,139,100,55,14,2
015199,北海道,利尻郡利尻富士町*,53,93,106,86,77,72,84,117,140,131,157,180,195,203,172,165,151,138,76,17,6
015202,北海道,天塩郡幌延町*,89,97,92,80,77,121,110,143,167,145,134,161,170,203,160,111,89,72,33,13,0
015431,北海道,網走郡美幌町,518,703,750,833,709,677,881,1034,1174,1214,1174,1378,1364,1609,1624,1265,1131,736,365,79,15
015440,北海道,網走郡津別町*,127,149,116,166,139,150,169,161,246,254,268,302,279,478,451,399,338,217,124,42,9
015458,北海道,斜里郡斜里町,406,472,472,434,428,529,614,643,745,745,682,750,770,999,852,711,575,422,204,68,9
015466,北海道,斜里郡清里町*,134,178,155,164,141,151,162,182,238,256,217,262,279,316,312,299,258,165,89,37,6
015474,北海道,斜里郡小清水町*,178,204,178,176,133,173,243,221,283,278,270,339,311,439,361,318,303,209,124,30,3
015491,北海道,常呂郡訓子府町*,147,205,188,212,130,119,201,238,268,294,284,355,341,426,419,361,275,234,111,39,8
015504,北海道,常呂郡置戸町*,100,93,90,95,85,74,93,150,133,153,165,169,167,273,251,228,214,164,89,37,10
015521,北海道,常呂郡佐呂間町,128,168,206,208,174,220,217,276,270,363,273,293,352,447,439,338,322,255,115,40,7
015555,北海道,紋別郡遠軽町,611,739,743,848,754,767,867,1031,1102,1274,1193,1242,1225,1629,1633,1405,1189,868,413,129,15
015598,北海道,紋別郡湧別町,236,257,329,377,303,354,329,411,488,527,518,579,618,744,695,601,562,424,229,77,6
015601,北海道,紋別郡滝上町*,64,78,65,71,62,98,95,114,109,147,129,190,192,239,226,197,192,138,82,29,3
015610,北海道,紋別郡興部町,145,160,141,159,140,139,221,215,220,236,236,242,281,289,299,230,226,116,67,16,0
015628,北海道,紋別郡西興部村*,28,37,32,28,35,43,58,68,82,54,55,92,60,77,53,62,74,57,33,13,1
015636,北海道,紋別郡雄武町,133,156,167,168,177,211,221,247,243,296,270,312,317,357,315,274,248,167,76,26,8
015644,北海道,網走郡大空町*,238,284,333,329,217,228,294,341,395,490,406,517,503,636,563,435,374,307,169,47,8
015717,北海道,虻田郡豊浦町,102,162,143,147,160,157,147,188,246,256,259,245,269,334,319,252,241,167,95,32,2
015750,北海道,有珠郡壮瞥町,64,80,101,101,111,85,101,117,136,163,138,174,160,211,224,196,145,124,68,17,1
015784,北海道,白老郡白老町,301,394,477,613,558,479,573,639,847,1057,1005,1019,1205,1763,1844,1583,1149,698,338,79,17
015814,北海道,勇払郡厚真町*,177,195,197,145,139,178,199,228,260,266,234,286,299,359,362,325,265,208,106,27,2
015849,北海道,虻田郡洞爺湖町,214,234,285,309,329,268,325,395,475,509,540,572,633,786,810,726,590,409,196,73,11
015857,北海道,勇払郡安平町,237,260,293,343,362,303,307,363,435,541,492,486,519,578,690,571,423,349,153,49,7
015865,北海道,勇払郡むかわ町,216,246,282,309,217,253,357,356,421,483,439,557,579,799,667,610,495,352,183,42,7
016012,北海道,沙流郡日高町,347,462,485,485,395,438,562,689,843,814,703,760,813,1025,921,774,668,452,218,55,10
016021,北海道,沙流郡平取町,149,194,216,199,162,179,204,239,296,350,336,340,334,393,407,333,277,183,95,34,3
016047,北海道,新冠郡新冠町,193,220,251,234,210,203,269,333,380,417,318,315,367,448,383,298,256,210,130,42,6
016071,北海道,浦河郡浦河町,375,447,467,510,499,531,593,678,786,852,822,804,832,1016,896,780,589,424,202,60,3
016080,北海道,様似郡様似町*,112,114,143,162,128,126,141,197,219,258,272,265,330,441,388,299,271,188,115,26,7
016098,北海道,幌泉郡えりも町*,140,197,222,197,159,177,197,248,292,311,270,308,361,417,347,252,222,158,82,21,1
016101,北海道,日高郡新ひだか町,777,869,878,911,809,871,999,1292,1401,1496,1428,1508,1414,1793,1740,1455,1227,833,378,141,22
016314,北海道,河東郡音更町,1577,1986,2315,2424,1834,1747,2050,2516,3177,3522,3002,2922,2706,3096,3013,2353,1932,1298,616,226,30
016322,北海道,河東郡士幌町,195,241,301,290,252,262,279,348,354,343,359,367,459,525,424,319,306,223,151,39,7
016331,北海道,河東郡上士幌町,180,186,207,190,212,270,257,286,307,272,266,294,330,387,327,334,283,227,111,30,1
016349,北海道,河東郡鹿追町,230,240,266,284,235,246,308,304,333,340,312,336,291,418,336,281,260,193,96,21,1
016357,北海道,上川郡新得町,177,218,205,217,276,295,282,303,360,384,360,394,401,485,495,411,410,265,121,38,2
016365,北海道,上川郡清水町,256,363,351,398,363,390,447,506,536,585,554,568,643,776,762,646,543,426,194,53,10
016373,北海道,河西郡芽室町,642,853,1030,1011,668,611,838,1037,1286,1379,1294,1241,1137,1343,1233,997,843,603,304,98,20
016381,北海道,河西郡中札内村,122,196,180,176,194,172,206,197,232,298,275,269,271,247,252,218,203,114,73,20,2
016390,北海道,河西郡更別村*,134,120,157,142,112,139,165,164,188,223,201,208,230,226,174,164,168,144,74,14,2
016411,北海道,広尾郡大樹町,184,220,226,200,218,302,318,287,344,321,277,314,350,462,423,369,309,235,126,33,8
016420,北海道,広尾郡広尾町*,186,205,235,271,199,240,272,287,355,410,432,453,511,620,544,475,456,279,140,39,4
016438,北海道,中川郡幕別町,900,1169,1177,1276,989,926,1179,1404,1785,1925,1713,1786,1819,2110,2086,1655,1298,832,437,147,23
016446,北海道,中川郡池田町*,160,170,209,266,264,199,246,243,339,380,430,431,440,585,652,532,458,350,173,57,14
016454,北海道,中川郡豊頃町*,96,82,109,126,101,110,142,156,156,179,168,201,245,268,265,217,211,169,77,20,4
016462,北海道,中川郡本別町*,166,211,235,306,240,219,224,297,368,388,425,464,466,669,622,540,462,333,153,52,11
016471,北海道,足寄郡足寄町*,228,239,285,262,190,198,249,349,378,424,374,426,475,585,608,483,454,317,159,64,7
016489,北海道,足寄郡陸別町*,62,81,79,74,59,90,105,119,117,141,154,170,148,199,207,176,155,102,60,18,1
016497,北海道,十勝郡浦幌町*,112,172,153,155,135,151,211,202,212,232,250,337,352,449,424,336,320,232,110,39,4
016616,北海道,釧路郡釧路町,737,686,814,924,846,947,1066,1095,1268,1374,1281,1485,1500,1696,1381,986,741,482,210,47,7
016624,北海道,厚岸郡厚岸町,245,327,360,386,378,397,383,443,517,588,593,671,639,798,694,624,557,364,177,36,6
016632,北海道,厚岸郡浜中町,214,212,222,285,225,244,310,326,343,345,374,415,445,514,393,313,252,183,99,33,1
016641,北海道,川上郡標茶町,242,307,335,341,237,284,398,395,438,441,445,535,575,647,518,464,397,296,156,52,6
016659,北海道,川上郡弟子屈町,163,233,259,257,217,223,237,337,407,455,429,520,546,671,644,589,419,302,120,62,12
016675,北海道,阿寒郡鶴居村*,84,77,144,122,80,84,100,145,128,188,152,162,197,222,174,148,126,82,41,21,0
016683,北海道,白糠郡白糠町,153,195,246,313,262,288,282,351,367,481,526,506,586,789,713,609,539,341,116,44,3
016918,北海道,野付郡別海町,563,692,781,744,650,711,913,919,1036,984,847,976,1062,1208,969,716,511,422,230,65,7
016926,北海道,標津郡中標津町,911,1059,1132,1234,958,1123,1279,1541,1758,1771,1560,1552,1455,1774,1434,1133,886,540,223,61,8
016934,北海道,標津郡標津町,217,215,225,259,234,242,231,306,322,402,334,333,344,400,388,302,263,143,66,15,2
016942,北海道,目梨郡羅臼町*,140,198,198,230,162,183,247,259,281,354,413,393,360,411,312,285,257,137,73,18,3
022012,青森県,青森市,8932,10342,11491,12789,11359,11127,13159,16092,19249,20724,19455,19601,20307,22286,21538,16270,12742,8907,3824,932,106
022021,青森県,弘前市,5564,6074,6560,7635,7861,6955,8204,9453,10726,11751,11227,11827,12133,13110,13044,10132,8342,6095,2733,699,87
022039,青森県,八戸市,7923,8986,9515,10735,9351,9649,11063,12795,14929,17191,15888,15174,15821,17907,16877,13513,10200,6751,2737,730,77
022047,青森県,黒石市,981,1146,1191,1571,1395,1339,1463,1823,2182,2182,2148,2338,2486,2896,2597,1915,1629,1165,508,121,8
022055,青森県,五所川原市,1475,1744,1928,2428,1978,1887,2277,2762,3212,3614,3748,4127,4203,4701,3988,3471,3047,2242,918,193,22
022063,青森県,十和田市,1943,2261,2466,2848,2500,2195,2583,3298,3968,4369,3977,4023,4511,5310,4969,3586,2965,2112,937,215,31
022071,青森県,三沢市,1666,1800,1832,1954,2169,2078,2371,2578,2680,2889,2626,2369,2507,2804,2222,1861,1472,1184,519,132,13
022080,青森県,むつ市,1787,2092,2191,2569,2217,2332,2624,3152,3711,4007,3695,3780,3974,5091,4482,3418,2729,1817,839,258,25
022098,青森県,つがる市,875,979,1180,1335,1053,1064,1391,1685,1785,1908,1959,2264,2634,2861,2553,2052,2032,1505,720,147,16
022101,青森県,平川市,985,1150,1231,1360,1184,1169,1365,1802,1968,2026,1953,2140,2286,2682,2392,1859,1659,1219,543,128,11
023001,青森県,東津軽郡*,451,565,640,785,579,596,709,956,1129,1252,1264,1461,1990,2323,2231,1671,1582,1169,535,129,14
023019,青森県,東津軽郡平内町*,285,317,361,417,303,342,399,515,616,613,625,719,1006,1147,1067,727,620,468,234,48,4
023035,青森県,東津軽郡今別町*,34,32,47,61,60,59,58,79,91,148,106,166,245,297,298,233,262,201,66,24,6
023043,青森県,東津軽郡蓬田村*,73,103,102,110,98,65,94,127,158,163,151,192,234,264,263,185,190,127,54,8,0
023078,青森県,東津軽郡外ヶ浜町*,59,113,130,197,118,130,158,235,264,328,382,384,505,615,603,526,510,373,181,49,4
023205,青森県,西津軽郡*,324,408,499,588,466,448,547,734,855,973,1045,1299,1471,1840,1666,1455,1430,1035,487,108,14
023213,青森県,西津軽郡鰺ヶ沢町*,186,237,288,306,278,272,350,445,471,535,593,758,822,992,840,726,725,551,253,62,8
023230,青森県,西津軽郡深浦町*,138,171,211,282,188,176,197,289,384,438,452,541,649,848,826,729,705,484,234,46,6
023400,青森県,中津軽郡,53,59,43,35,38,34,66,63,79,73,78,106,98,107,102,89,87,90,57,2,0
023434,青森県,中津軽郡西目屋村,53,59,43,35,38,34,66,63,79,73,78,106,98,107,102,89,87,90,57,2,0
023604,青森県,南津軽郡*,987,1110,1163,1303,1030,1209,1390,1707,1986,1976,2037,2261,2505,2850,2502,2091,1865,1400,598,137,13
023612,青森県,南津軽郡藤崎町*,526,583,594,671,495,627,718,878,967,985,969,1024,1140,1246,1011,861,749,604,242,58,6
023621,青森県,南津軽郡大鰐町*,212,201,264,337,277,289,304,414,494,532,611,701,770,930,886,773,650,473,217,50,6
023671,青森県,南津軽郡田舎館村*,249,326,305,295,258,293,368,415,525,459,457,536,595,674,605,457,466,323,139,29,1
023809,青森県,北津軽郡*,951,1160,1332,1509,1217,1148,1476,1679,2058,2304,2486,2551,3033,3360,3081,2602,2410,1703,743,180,21
023817,青森県,北津軽郡板柳町*,357,418,498,564,447,466,552,639,785,886,883,958,1069,1139,1092,914,821,608,262,69,4
023841,青森県,北津軽郡鶴田町*,344,447,505,593,447,367,525,600,764,831,880,861,927,1133,979,845,779,540,247,61,7
023876,青森県,北津軽郡中泊町,250,295,329,352,323,315,399,440,509,587,723,732,1037,1088,1010,843,810,555,234,50,10
024007,青森県,上北郡*,3257,3635,3925,4370,3725,3778,4437,5424,6009,6594,6056,6205,7294,8512,7408,5633,4855,3564,1699,472,68
024015,青森県,上北郡野辺地町,310,418,474,520,456,418,546,716,759,857,776,897,1048,1248,1127,908,732,518,267,86,13
