団体コード,都道府県名,市区町村名,0～4歳,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85～89,90～94,95～99,100歳以上
103403,群馬県,北群馬郡,1781,1787,1871,1897,1859,1817,2216,2403,2893,2811,2309,2040,2129,2337,2244,1658,1035,764,379,97,20
103446,群馬県,北群馬郡榛東村,652,616,687,731,860,778,821,894,1100,1090,982,809,908,1039,999,701,456,336,164,47,6
103454,群馬県,北群馬郡吉岡町,1129,1171,1184,1166,999,1039,1395,1509,1793,1721,1327,1231,1221,1298,1245,957,579,428,215,50,14
103608,群馬県,多野郡*,51,57,55,75,71,91,77,97,108,124,117,150,235,309,299,282,303,244,134,47,4
103667,群馬県,多野郡上野村*,38,33,33,41,40,48,39,55,55,57,37,58,78,98,100,87,93,89,44,16,1
103675,群馬県,多野郡神流町*,13,24,22,34,31,43,38,42,53,67,80,92,157,211,199,195,210,155,90,31,3
103802,群馬県,甘楽郡*,482,590,720,855,864,776,868,930,1104,1315,1277,1496,1768,2103,1946,1603,1402,1154,653,176,27
103829,群馬県,甘楽郡下仁田町*,103,112,165,227,207,192,222,240,274,356,388,525,644,736,715,652,569,487,286,76,11
103837,群馬県,甘楽郡南牧村*,8,13,14,27,29,32,50,31,34,61,88,98,161,189,167,199,215,213,119,27,5
103845,群馬県,甘楽郡甘楽町,371,465,541,601,628,552,596,659,796,898,801,873,963,1178,1064,752,618,454,248,73,11
104205,群馬県,吾妻郡,1283,1588,1941,2352,2315,2135,2098,2330,2796,3508,3402,3666,4108,5034,4525,3867,3112,2448,1354,411,55
104213,群馬県,吾妻郡中之条町,373,457,581,703,620,630,619,660,817,1002,1014,1022,1184,1361,1317,1124,956,772,427,131,12
104248,群馬県,吾妻郡長野原町,127,145,208,260,227,191,217,237,319,396,348,392,391,528,459,389,298,212,129,34,3
104256,群馬県,吾妻郡嬬恋村,270,321,356,398,406,342,368,443,500,608,592,714,747,847,792,637,513,393,194,59,14
104264,群馬県,吾妻郡草津町,140,159,198,281,335,305,245,244,314,487,423,378,409,568,574,538,393,221,120,37,1
104281,群馬県,吾妻郡高山村,100,116,137,181,188,137,160,156,176,234,208,256,261,315,264,208,217,164,87,28,3
104299,群馬県,吾妻郡東吾妻町,273,390,461,529,539,530,489,590,670,781,817,904,1116,1415,1119,971,735,686,397,122,22
104400,群馬県,利根郡*,899,1086,1169,1577,1514,1185,1405,1549,1802,1942,1963,2254,2793,3177,2702,2050,1863,1488,907,258,30
104434,群馬県,利根郡片品村,89,116,143,218,182,136,172,186,214,247,256,344,381,436,357,252,266,209,127,34,6
104442,群馬県,利根郡川場村*,99,139,147,171,153,104,118,165,205,199,173,164,272,314,235,182,145,146,94,24,2
104485,群馬県,利根郡昭和村,257,288,296,377,397,321,400,406,452,408,410,432,566,670,518,347,314,247,138,51,4
104493,群馬県,利根郡みなかみ町,454,543,583,811,782,624,715,792,931,1088,1124,1314,1574,1757,1592,1269,1138,886,548,149,18
104604,群馬県,佐波郡,1238,1386,1546,1839,2136,1942,1927,2077,2426,2785,2756,2673,2598,2662,2539,1615,1043,685,343,101,17
104647,群馬県,佐波郡玉村町,1238,1386,1546,1839,2136,1942,1927,2077,2426,2785,2756,2673,2598,2662,2539,1615,1043,685,343,101,17
105201,群馬県,邑楽郡,3589,4195,4637,5125,5867,5303,5738,6248,7260,8224,7137,6232,6637,8081,8028,5765,3505,2237,1163,362,55
105210,群馬県,邑楽郡板倉町,323,529,603,686,800,527,547,737,927,1017,955,918,1123,1441,1249,845,577,391,227,70,6
105228,群馬県,邑楽郡明和町,393,455,504,518,527,577,620,624,732,840,659,657,780,957,862,639,393,306,172,45,9
105236,群馬県,邑楽郡千代田町,360,443,511,536,553,499,599,614,822,858,699,639,740,921,949,598,401,316,139,59,10
105244,群馬県,邑楽郡大泉町,1731,1805,1841,2125,2739,2612,2676,2792,3045,3359,3118,2503,2275,2527,2599,2024,1172,629,319,85,11
105252,群馬県,邑楽郡邑楽町,782,963,1178,1260,1248,1088,1296,1481,1734,2150,1706,1515,1719,2235,2369,1659,962,595,306,103,19
111007,埼玉県,さいたま市,54999,58319,58572,61559,72564,76343,80849,87734,98439,113801,99059,81759,68598,71219,77204,66208,45232,26612,11529,3048,498
111015,埼玉県,さいたま市西区,4186,3914,3983,4204,4606,5095,5651,6013,6519,7688,6293,4832,4512,5422,6273,5797,3889,2050,805,194,42
111023,埼玉県,さいたま市北区,5858,6712,7003,7302,8535,8968,9004,9601,11377,13103,11550,9845,7834,7623,7890,6579,4749,2927,1267,335,56
111031,埼玉県,さいたま市大宮区,4913,4987,4591,4924,6596,7716,7908,8540,8941,10150,8540,7366,6350,6381,6524,5407,3820,2760,1300,335,69
111040,埼玉県,さいたま市見沼区,6009,6945,7463,7920,8860,8205,8775,9814,11575,13866,11995,10066,8915,9768,11044,9771,6709,3644,1488,394,63
111058,埼玉県,さいたま市中央区,4183,4320,4538,4690,5915,7022,6590,6867,7684,9096,8015,6453,5265,5140,5458,4461,3182,1968,827,242,41
111066,埼玉県,さいたま市桜区,3320,3806,4205,4596,6246,5771,5572,5901,7073,8326,7448,5983,4940,5285,6021,5419,3492,1694,640,161,30
111074,埼玉県,さいたま市浦和区,7455,7974,7399,7497,8585,9726,10741,11901,12621,14047,13008,10908,8862,8057,8294,6710,4926,3469,1726,487,56
111082,埼玉県,さいたま市南区,9125,8769,8106,8984,11078,12229,13448,13898,14746,16917,15142,12502,9529,9116,9322,7841,5496,3143,1349,342,45
111091,埼玉県,さいたま市緑区,6173,6715,6512,6157,6777,6589,7657,8904,10024,11092,9045,7498,6369,6710,7313,6118,3967,2271,1046,266,42
111104,埼玉県,さいたま市岩槻区,3777,4177,4772,5285,5366,5022,5503,6295,7879,9516,8023,6306,6022,7717,9065,8105,5002,2686,1081,292,54
112011,埼玉県,川越市,13178,15178,15344,16129,19460,18451,19590,22182,25944,29919,24967,20362,18551,22272,25049,21716,14001,7297,2865,737,109
112020,埼玉県,熊谷市,6694,7483,8345,9136,9509,9395,10050,11569,13245,15412,13496,12597,12986,14727,14672,11537,8059,4919,2280,625,93
